Lyric_Text,Lyric_ID,Clean_Lyric_Text
"i'm doing good, i'm on some new shit",1,im doing good im on some new shit
"been saying ""yes"" instead of ""no""",2,been saying yes instead of no
"i thought i saw you at the bus stop, i didn't though",3,i thought i saw you at the bus stop i didnt though
i hit the ground running each night,4,i hit the ground running each night
i hit the sunday matinée,5,i hit the sunday matinée
you know the greatest films of all time were never made,6,you know the greatest films of all time were never made
"i guess you never know, never know",7,i guess you never know never know
"and if you wanted me, you really should've showed",8,and if you wanted me you really shouldve showed
"and if you never bleed, you're never gonna grow",9,and if you never bleed youre never gonna grow
and it's alright now,10,and its alright now
"but we were something, don't you think so?",11,but we were something dont you think so
"roaring twenties, tossing pennies in the pool",12,roaring twenties tossing pennies in the pool
and if my wishes came true,13,and if my wishes came true
it would've been you,14,it wouldve been you
"in my defense, i have none",15,in my defense i have none
for never leaving well enough alone,16,for never leaving well enough alone
but it would've been fun,17,but it wouldve been fun
if you would've been the onei have this dream you're doing cool shit,18,if you wouldve been the onei have this dream youre doing cool shit
having adventures on your own,19,having adventures on your own
you meet some woman on the internet and take her home,20,you meet some woman on the internet and take her home
"we never painted by the numbers, baby",21,we never painted by the numbers baby
but we were making it count,22,but we were making it count
you know the greatest loves of all time are over now,23,you know the greatest loves of all time are over now
"i guess you never know, never know",24,i guess you never know never know
and it's another day waking up alone,25,and its another day waking up alone
"but we were something, don't you think so?",26,but we were something dont you think so
"roaring twenties, tossing pennies in the pool",27,roaring twenties tossing pennies in the pool
and if my wishes came true,28,and if my wishes came true
it would've been you,29,it wouldve been you
"in my defense, i have none",30,in my defense i have none
for never leaving well enough alone,31,for never leaving well enough alone
but it would've been fun,32,but it wouldve been fun
if you would've been the one,33,if you wouldve been the one
"i, i, i persist and resist the temptation to ask you",34,i i i persist and resist the temptation to ask you
if one thing had been different,35,if one thing had been different
would everything be different today?,36,would everything be different today
"we were something, don't you think so?",37,we were something dont you think so
rosé flowing with your chosen family,38,rosé flowing with your chosen family
and it would've been sweet,39,and it wouldve been sweet
if it could've been me,40,if it couldve been me
"in my defense, i have none",41,in my defense i have none
for digging up the grave another time,42,for digging up the grave another time
but it would've been fun,43,but it wouldve been fun
if you would've been the one,44,if you wouldve been the one
"vintage tee, brand new phone",45,vintage tee brand new phone
high heels on cobblestones,46,high heels on cobblestones
"when you are young, they assume you know nothing",47,when you are young they assume you know nothing
"sequined smile, black lipstick",48,sequined smile black lipstick
sensual politics,49,sensual politics
"when you are young, they assume you know nothing",50,when you are young they assume you know nothing
but i knew you,51,but i knew you
dancin' in your levi's,52,dancin in your levis
"drunk under a streetlight, i",53,drunk under a streetlight i
i knew you,54,i knew you
hand under my sweatshirt,55,hand under my sweatshirt
"baby, kiss it better, i",56,baby kiss it better i
and when i felt like i was an old cardigan,57,and when i felt like i was an old cardigan
under someone's bed,58,under someones bed
you put me on and said i was your favorite,59,you put me on and said i was your favorite
a friend to all is a friend to none,60,a friend to all is a friend to none
"chase two girls, lose the one",61,chase two girls lose the one
"when you are young, they assume you know nothing",62,when you are young they assume you know nothing
but i knew you,63,but i knew you
playing hide-and-seek and,64,playing hideandseek and
"giving me your weekends, i",65,giving me your weekends i
i knew you,66,i knew you
your heartbeat on the high line,67,your heartbeat on the high line
"once in twenty lifetimes, i",68,once in twenty lifetimes i
and when i felt like i was an old cardigan,69,and when i felt like i was an old cardigan
under someone's bed,70,under someones bed
you put me on and said i was your favorite,71,you put me on and said i was your favorite
to kiss in cars and downtown bars,72,to kiss in cars and downtown bars
was all we needed,73,was all we needed
you drew stars around my scars,74,you drew stars around my scars
but now i'm bleedin',75,but now im bleedin
'cause i knew you,76,cause i knew you
steppin' on the last train,77,steppin on the last train
"marked me like a bloodstain, i",78,marked me like a bloodstain i
i knew you,79,i knew you
tried to change the ending,80,tried to change the ending
"peter losing wendy, i",81,peter losing wendy i
i knew you,82,i knew you
leavin' like a father,83,leavin like a father
"running like water, i",84,running like water i
"and when you are young, they assume you know nothing",85,and when you are young they assume you know nothing
but i knew you'd linger like a tattoo kiss,86,but i knew youd linger like a tattoo kiss
i knew you'd haunt all of my what-ifs,87,i knew youd haunt all of my whatifs
the smell of smoke would hang around this long,88,the smell of smoke would hang around this long
'cause i knew everything when i was young,89,cause i knew everything when i was young
i knew i'd curse you for the longest time,90,i knew id curse you for the longest time
chasin' shadows in the grocery line,91,chasin shadows in the grocery line
i knew you'd miss me once the thrill expired,92,i knew youd miss me once the thrill expired
and you'd be standin' in my front porch light,93,and youd be standin in my front porch light
and i knew you'd come back to me,94,and i knew youd come back to me
you'd come back to me,95,youd come back to me
and you'd come back to me,96,and youd come back to me
and you'd come back,97,and youd come back
and when i felt like i was an old cardigan,98,and when i felt like i was an old cardigan
under someone's bed,99,under someones bed
you put me on and said i was your favorite,100,you put me on and said i was your favorite
"rebekah rode up on the afternoon train, it was sunny",101,rebekah rode up on the afternoon train it was sunny
her saltbox house on the coast took her mind off st. louis,102,her saltbox house on the coast took her mind off st louis
bill was the heir to the standard oil name and money,103,bill was the heir to the standard oil name and money
"and the town said, ""how did a middle-class divorcée do it?""",104,and the town said how did a middleclass divorcée do it
"the wedding was charming, if a little gauche",105,the wedding was charming if a little gauche
there's only so far new money goes,106,theres only so far new money goes
"they picked out a home and called it ""holiday house""",107,they picked out a home and called it holiday house
"their parties were tasteful, if a little loud",108,their parties were tasteful if a little loud
the doctor had told him to settle down,109,the doctor had told him to settle down
it must have been her fault his heart gave out,110,it must have been her fault his heart gave out
and they said,111,and they said
there goes the last great american dynasty,112,there goes the last great american dynasty
"who knows, if she never showed up, what could've been",113,who knows if she never showed up what couldve been
there goes the maddest woman this town has ever seen,114,there goes the maddest woman this town has ever seen
she had a marvelous time ruining everything,115,she had a marvelous time ruining everything
rebekah gave up on the rhode island set forever,116,rebekah gave up on the rhode island set forever
flew in all her bitch pack friends from the city,117,flew in all her bitch pack friends from the city
filled the pool with champagne and swam with the big names,118,filled the pool with champagne and swam with the big names
and blew through the money on the boys and the ballet,119,and blew through the money on the boys and the ballet
and losing on card game bets with dalí,120,and losing on card game bets with dalí
and they said,121,and they said
there goes the last great american dynasty,122,there goes the last great american dynasty
"who knows, if she never showed up, what could've been",123,who knows if she never showed up what couldve been
there goes the most shameless woman this town has ever seen,124,there goes the most shameless woman this town has ever seen
she had a marvelous time ruining everything,125,she had a marvelous time ruining everything
they say she was seen on occasion,126,they say she was seen on occasion
"pacing the rocks, staring out at the midnight sea",127,pacing the rocks staring out at the midnight sea
and in a feud with her neighbor,128,and in a feud with her neighbor
she stole his dog and dyed it key lime green,129,she stole his dog and dyed it key lime green
fifty years is a long time,130,fifty years is a long time
holiday house sat quietly on that beach,131,holiday house sat quietly on that beach
"free of women with madness, their men and bad habits",132,free of women with madness their men and bad habits
and then it was bought by me,133,and then it was bought by me
"who knows, if i never showed up, what could've been",134,who knows if i never showed up what couldve been
