id,source,title,time,text
frankenstein_2025_0000,movie,frankenstein_2025,"00:00:54,708 --> 00:00:56,166",Captain!
frankenstein_2025_0001,movie,frankenstein_2025,"00:01:01,958 --> 00:01:03,416",Captain!
frankenstein_2025_0002,movie,frankenstein_2025,"00:01:04,333 --> 00:01:05,583",Can we talk?
frankenstein_2025_0003,movie,frankenstein_2025,"00:01:09,375 --> 00:01:10,500",Hmm.
frankenstein_2025_0004,movie,frankenstein_2025,"00:01:13,083 --> 00:01:14,291",We must break through the ice.
frankenstein_2025_0005,movie,frankenstein_2025,"00:01:15,208 --> 00:01:17,416",The men are hungry and exhausted.
frankenstein_2025_0006,movie,frankenstein_2025,"00:01:18,125 --> 00:01:20,750",We cannot keep up this pace without consequence.
frankenstein_2025_0007,movie,frankenstein_2025,"00:01:25,291 --> 00:01:26,875","Listen up, men!"
frankenstein_2025_0008,movie,frankenstein_2025,"00:01:28,000 --> 00:01:30,167","The more we delay the labor,"
frankenstein_2025_0009,movie,frankenstein_2025,"00:01:30,250 --> 00:01:32,708",the firmer the grasp of the ice will become.
frankenstein_2025_0010,movie,frankenstein_2025,"00:01:33,458 --> 00:01:34,708",The work continues.
frankenstein_2025_0011,movie,frankenstein_2025,"00:01:35,458 --> 00:01:36,583",Rotate each group.
frankenstein_2025_0012,movie,frankenstein_2025,"00:01:36,666 --> 00:01:37,875","Sir, with respect..."
frankenstein_2025_0013,movie,frankenstein_2025,"00:01:38,500 --> 00:01:40,000",The men need assurances.
frankenstein_2025_0014,movie,frankenstein_2025,"00:01:40,083 --> 00:01:40,917",Assurances?
frankenstein_2025_0015,movie,frankenstein_2025,"00:01:41,000 --> 00:01:44,750","Yes, that we will head back to St. Petersburg once we free the ship."
frankenstein_2025_0016,movie,frankenstein_2025,"00:01:44,833 --> 00:01:47,542",They don't think we'll be seaworthy for long and they want to know...
frankenstein_2025_0017,movie,frankenstein_2025,"00:01:47,625 --> 00:01:49,083",Listen up!
frankenstein_2025_0018,movie,frankenstein_2025,"00:01:50,916 --> 00:01:55,792","It is neither your place, nor the officer here, to think anything..."
frankenstein_2025_0019,movie,frankenstein_2025,"00:01:55,875 --> 00:01:59,250",We signed up for a mission and we will see it to completion.
frankenstein_2025_0020,movie,frankenstein_2025,"00:01:59,833 --> 00:02:01,667",We will reach the North Pole.
frankenstein_2025_0021,movie,frankenstein_2025,"00:02:01,750 --> 00:02:03,375",Is it understood?
frankenstein_2025_0022,movie,frankenstein_2025,"00:02:39,166 --> 00:02:40,791","An explosion, Captain."
frankenstein_2025_0023,movie,frankenstein_2025,"00:02:43,541 --> 00:02:45,083",About two miles away.
frankenstein_2025_0024,movie,frankenstein_2025,"00:02:51,583 --> 00:02:53,083",Get the men.
frankenstein_2025_0025,movie,frankenstein_2025,"00:03:10,791 --> 00:03:12,916",The sled dogs are unharmed.
frankenstein_2025_0026,movie,frankenstein_2025,"00:03:13,458 --> 00:03:15,042",Then where does all this blood come from?
frankenstein_2025_0027,movie,frankenstein_2025,"00:03:15,125 --> 00:03:17,708","Over here, Captain!"
frankenstein_2025_0028,movie,frankenstein_2025,"00:03:17,791 --> 00:03:20,167","A wounded man, he's lost a lot of blood."
frankenstein_2025_0029,movie,frankenstein_2025,"00:03:23,000 --> 00:03:25,916","Wound to the shoulder, his leg is broken."
frankenstein_2025_0030,movie,frankenstein_2025,"00:03:27,208 --> 00:03:28,291",Bear attack?
frankenstein_2025_0031,movie,frankenstein_2025,"00:03:28,833 --> 00:03:29,792","I don't think so, Captain."
frankenstein_2025_0032,movie,frankenstein_2025,"00:03:29,875 --> 00:03:31,708","Larsen, help me with his boot."
frankenstein_2025_0033,movie,frankenstein_2025,"00:03:42,583 --> 00:03:43,958",A prosthetic leg.
frankenstein_2025_0034,movie,frankenstein_2025,"00:03:52,083 --> 00:03:53,333",Put him on the board.
frankenstein_2025_0035,movie,frankenstein_2025,"00:03:56,041 --> 00:03:57,375",Hurry! To the ship! Now!
frankenstein_2025_0036,movie,frankenstein_2025,"00:04:02,875 --> 00:04:04,625","Larsen, that thing is coming."
frankenstein_2025_0037,movie,frankenstein_2025,"00:04:07,958 --> 00:04:09,541",Ready the rifles!
frankenstein_2025_0038,movie,frankenstein_2025,"00:04:14,625 --> 00:04:16,000",On my command.
frankenstein_2025_0039,movie,frankenstein_2025,"00:04:20,666 --> 00:04:22,125",Aim!
frankenstein_2025_0040,movie,frankenstein_2025,"00:04:22,750 --> 00:04:23,875",Fire!
frankenstein_2025_0041,movie,frankenstein_2025,"00:04:35,708 --> 00:04:36,916",Next group!
frankenstein_2025_0042,movie,frankenstein_2025,"00:04:40,208 --> 00:04:41,833",Fire!
frankenstein_2025_0043,movie,frankenstein_2025,"00:04:55,500 --> 00:04:56,375",All to the ship!!
frankenstein_2025_0044,movie,frankenstein_2025,"00:05:17,500 --> 00:05:19,292",Where is that man we brought onboard?
frankenstein_2025_0045,movie,frankenstein_2025,"00:05:19,375 --> 00:05:20,416",Where?
frankenstein_2025_0046,movie,frankenstein_2025,"00:05:20,916 --> 00:05:22,500",What is that thing? What does it want?
frankenstein_2025_0047,movie,frankenstein_2025,"00:05:31,125 --> 00:05:34,666",Bring him to me!
frankenstein_2025_0048,movie,frankenstein_2025,"00:05:48,125 --> 00:05:50,667","The blunderbuss. Larsen, get the blunderbuss!"
frankenstein_2025_0049,movie,frankenstein_2025,"00:06:01,916 --> 00:06:03,416",Victor.
frankenstein_2025_0050,movie,frankenstein_2025,"00:06:05,000 --> 00:06:06,166",Victor!
frankenstein_2025_0051,movie,frankenstein_2025,"00:06:19,791 --> 00:06:20,791",I killed it.
frankenstein_2025_0052,movie,frankenstein_2025,"00:06:21,416 --> 00:06:22,708",I killed it.
frankenstein_2025_0053,movie,frankenstein_2025,"00:06:35,916 --> 00:06:36,917",It's still alive!
frankenstein_2025_0054,movie,frankenstein_2025,"00:06:37,000 --> 00:06:38,125",Ladder!
frankenstein_2025_0055,movie,frankenstein_2025,"00:06:38,208 --> 00:06:39,542",Pull up the ladder!
frankenstein_2025_0056,movie,frankenstein_2025,"00:06:54,166 --> 00:06:58,500",Bring him to me!
frankenstein_2025_0057,movie,frankenstein_2025,"00:07:16,791 --> 00:07:18,458",How many shots are left?
